Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Hong Kong,Hong Kong,1/26/2020 11:00 AM,8.0,244.0,,
Inner Mongolia,Mainland China,1/26/2020 11:00 AM,7.0,,,
Gansu,Mainland China,1/26/2020 11:00 AM,7.0,,,
Guizhou,Mainland China,1/26/2020 11:00 AM,5.0,,,
Macau,Macau,1/26/2020 11:00 AM,5.0,,,
Ningxia,Mainland China,1/26/2020 11:00 AM,4.0,,,
Jilin,Mainland China,1/26/2020 11:00 AM,4.0,,,
Taiwan,Taiwan,1/26/2020 11:00 AM,4.0,,,
Xinjiang,Mainland China,1/26/2020 11:00 AM,4.0,,,
Qinghai,Mainland China,1/26/2020 11:00 AM,1.0,,,
Washington,United States,1/26/2020 11:00 AM,1.0,,,
Illinois,United States,1/26/2020 11:00 AM,1.0,,,
California,United States,1/26/2020 11:00 AM,1.0,,,
,Japan,1/26/2020 11:00 AM,4.0,,1.0,
,Thailand,1/26/2020 11:00 AM,8.0,,2.0,
,South Korea,1/26/2020 11:00 AM,3.0,,,
,Singapore,1/26/2020 11:00 AM,4.0,,,
,Vietnam,1/26/2020 11:00 AM,2.0,,,
,France,1/26/2020 11:00 AM,3.0,,,
,Australia,1/26/2020 11:00 AM,4.0,,,
,Nepal,1/26/2020 11:00 AM,1.0,,,
,Malaysia,1/26/2020 11:00 AM,4.0,,,
Ontario,Canada,1/26/2020 11:00 AM,1.0,,,
Hubei,Mainland China,1/25/2020 10:00 PM,1052.0,,42.0,52.0
Zhejiang,Mainland China,1/25/2020 10:00 PM,104.0,,1.0,
Guangdong,Mainland China,1/25/2020 12:00 PM,98.0,,2.0,
Henan,Mainland China,1/25/2020 12:00 PM,83.0,3.0,,1.0
Chongqing,Mainland China,1/25/2020 12:00 PM,75.0,,,
Hunan,Mainland China,1/25/2020 12:00 PM,69.0,,,
Anhui,Mainland China,1/25/2020 12:00 PM,60.0,4.0,,
Beijing,Mainland China,1/25/2020 12:00 PM,51.0,,2.0,
Sichuan,Mainland China,1/25/2020 12:00 PM,44.0,4.0,,
Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,72.0,1.0,1.0
Shandong,Mainland China,1/25/2020 12:00 PM,39.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,,,
Guangxi,Mainland China,1/25/2020 12:00 PM,33.0,,,
Jiangsu,Mainland China,1/25/2020 12:00 PM,31.0,,1.0,
Hainan,Mainland China,1/25/2020 12:00 PM,19.0,,,
Liaoning,Mainland China,1/25/2020 12:00 PM,19.0,,,
Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,,1.0
Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,,,
Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,,,
Tianjin,Mainland China,1/25/2020 12:00 PM,13.0,,,
Hebei,Mainland China,1/25/2020 12:00 PM,13.0,,,1.0
Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,,
Shanxi,Mainland China,1/25/2020 12:00 PM,9.0,,,
Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,,,
Gansu,Mainland China,1/25/2020 12:00 PM,7.0,,,
Guizhou,Mainland China,1/25/2020 12:00 PM,5.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,,
Ningxia,Mainland China,1/25/2020 12:00 PM,4.0,1.0,,
Jilin,Mainland China,1/25/2020 12:00 PM,4.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 PM,4.0,,,
Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,,,
Macau,Macau,1/25/2020 12:00 PM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,,,
Washington,United States,1/25/2020 12:00 PM,1.0,,,
Illinois,United States,1/25/2020 12:00 PM,1.0,,,
,Japan,1/25/2020 12:00 PM,2.0,,,
,Thailand,1/25/2020 12:00 PM,7.0,,,
,South Korea,1/25/2020 12:00 PM,3.0,,,
,Singapore,1/25/2020 12:00 PM,3.0,,,
,Vietnam,1/25/2020 12:00 PM,2.0,,,
,France,1/25/2020 12:00 PM,3.0,,,
,Australia,1/25/2020 12:00 PM,4.0,,,
,Nepal,1/25/2020 12:00 PM,1.0,,,
,Malaysia,1/25/2020 12:00 PM,3.0,,,
Hubei,Mainland China,1/25/2020 12:00 PM,761.0,,32.0,40.0
Guangdong,Mainland China,1/25/2020 12:00 PM,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020 12:00 PM,62.0,,1.0,
Chongqing,Mainland China,1/25/2020 12:00 PM,57.0,,,
Hunan,Mainland China,1/25/2020 12:00 PM,43.0,,,
Beijing,Mainland China,1/25/2020 12:00 PM,41.0,,2.0,
Anhui,Mainland China,1/25/2020 12:00 PM,39.0,4.0,,
Shanghai,Mainland China,1/25/2020 12:00 PM,33.0,72.0,1.0,
Henan,Mainland China,1/25/2020 12:00 PM,32.0,1.0,,
Sichuan,Mainland China,1/25/2020 12:00 PM,28.0,4.0,,
Shandong,Mainland China,1/25/2020 12:00 PM,27.0,,,
Guangxi,Mainland China,1/25/2020 12:00 PM,23.0,,,
Hainan,Mainland China,1/25/2020 12:00 PM,19.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 PM,18.0,,,
Fujian,Mainland China,1/25/2020 12:00 PM,18.0,20.0,,
Jiangsu,Mainland China,1/25/2020 12:00 PM,18.0,,1.0,
Liaoning,Mainland China,1/25/2020 12:00 PM,17.0,,,
Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,,,
Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,58.0,,
Tianjin,Mainland China,1/25/2020 12:00 PM,10.0,,,
Heilongjiang,Mainland China,1/25/2020 12:00 PM,9.0,,,1.0
Hebei,Mainland China,1/25/2020 12:00 PM,8.0,,,1.0
Inner Mongolia,Mainland China,1/25/2020 12:00 PM,7.0,,,
Shanxi,Mainland China,1/25/2020 12:00 PM,6.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,244.0,,
Guizhou,Mainland China,1/25/2020 12:00 PM,4.0,,,
Jilin,Mainland China,1/25/2020 12:00 PM,4.0,,,
Gansu,Mainland China,1/25/2020 12:00 PM,4.0,,,
Ningxia,Mainland China,1/25/2020 12:00 PM,3.0,1.0,,
Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 PM,3.0,,,
Macau,Macau,1/25/2020 12:00 PM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 PM,1.0,,,
Washington,United States,1/25/2020 12:00 PM,1.0,,,
Illinois,United States,1/25/2020 12:00 PM,1.0,,,
,Japan,1/25/2020 12:00 PM,2.0,,,
,Thailand,1/25/2020 12:00 PM,7.0,,,
,South Korea,1/25/2020 12:00 PM,2.0,,,
,Singapore,1/25/2020 12:00 PM,3.0,,,
,Vietnam,1/25/2020 12:00 PM,2.0,,,
,France,1/25/2020 12:00 PM,3.0,,,
,Australia,1/25/2020 12:00 PM,4.0,,,
,Nepal,1/25/2020 12:00 PM,1.0,,,
,Malaysia,1/25/2020 12:00 PM,3.0,,,
Hubei,Mainland China,1/25/2020 12:00 AM,729.0,,32.0,39.0
Guangdong,Mainland China,1/25/2020 12:00 AM,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020 12:00 AM,62.0,,1.0,
Chongqing,Mainland China,1/25/2020 12:00 AM,57.0,,,
Hunan,Mainland China,1/25/2020 12:00 AM,43.0,,,
Anhui,Mainland China,1/25/2020 12:00 AM,39.0,4.0,,
Beijing,Mainland China,1/25/2020 12:00 AM,36.0,,1.0,
Shanghai,Mainland China,1/25/2020 12:00 AM,33.0,22.0,1.0,
Henan,Mainland China,1/25/2020 12:00 AM,32.0,1.0,,
Sichuan,Mainland China,1/25/2020 12:00 AM,28.0,4.0,,
Guangxi,Mainland China,1/25/2020 12:00 AM,23.0,,,
Shandong,Mainland China,1/25/2020 12:00 AM,21.0,,,
Jiangxi,Mainland China,1/25/2020 12:00 AM,18.0,,,
Jiangsu,Mainland China,1/25/2020 12:00 AM,18.0,,1.0,
Hainan,Mainland China,1/25/2020 12:00 AM,17.0,,,
Liaoning,Mainland China,1/25/2020 12:00 AM,15.0,,,
Fujian,Mainland China,1/25/2020 12:00 AM,10.0,4.0,,
Heilongjiang,Mainland China,1/25/2020 12:00 AM,9.0,,,1.0
Tianjin,Mainland China,1/25/2020 12:00 AM,8.0,,,
Hebei,Mainland China,1/25/2020 12:00 AM,8.0,,,1.0
Shanxi,Mainland China,1/25/2020 12:00 AM,6.0,,,
Yunnan,Mainland China,1/25/2020 12:00 AM,5.0,,,
Hong Kong,Hong Kong,1/25/2020 12:00 AM,5.0,36.0,,
Shaanxi,Mainland China,1/25/2020 12:00 AM,5.0,,,
Guizhou,Mainland China,1/25/2020 12:00 AM,4.0,,,
Jilin,Mainland China,1/25/2020 12:00 AM,4.0,,,
Gansu,Mainland China,1/25/2020 12:00 AM,4.0,,,
Ningxia,Mainland China,1/25/2020 12:00 AM,3.0,1.0,,
Taiwan,Taiwan,1/25/2020 12:00 AM,3.0,,,
Xinjiang,Mainland China,1/25/2020 12:00 AM,3.0,,,
Macau,Macau,1/25/2020 12:00 AM,2.0,,,
Inner Mongolia,Mainland China,1/25/2020 12:00 AM,2.0,,,
Qinghai,Mainland China,1/25/2020 12:00 AM,,1.0,,
Washington,United States,1/25/2020 12:00 AM,1.0,,,
Illinois,United States,1/25/2020 12:00 AM,1.0,,,
,Japan,1/25/2020 12:00 AM,2.0,,,
,Thailand,1/25/2020 12:00 AM,5.0,,,
,South Korea,1/25/2020 12:00 AM,2.0,,,
,Singapore,1/25/2020 12:00 AM,3.0,,,
,Vietnam,1/25/2020 12:00 AM,2.0,,,
,France,1/25/2020 12:00 AM,3.0,,,
,Australia,1/25/2020 12:00 AM,1.0,,,
,Nepal,1/25/2020 12:00 AM,1.0,,,
,Malaysia,1/25/2020 12:00 AM,3.0,,,
Hubei,Mainland China,1/24/2020 12:00 PM,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020 12:00 PM,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020 12:00 PM,43.0,,1.0,
Beijing,Mainland China,1/24/2020 12:00 PM,36.0,,1.0,
Chongqing,Mainland China,1/24/2020 12:00 PM,27.0,13.0,,
Hunan,Mainland China,1/24/2020 12:00 PM,24.0,,,
Guangxi,Mainland China,1/24/2020 12:00 PM,23.0,,,
Shanghai,Mainland China,1/24/2020 12:00 PM,20.0,22.0,1.0,
Jiangxi,Mainland China,1/24/2020 12:00 PM,18.0,,,
Sichuan,Mainland China,1/24/2020 12:00 PM,15.0,4.0,,
Shandong,Mainland China,1/24/2020 12:00 PM,15.0,,,
Anhui,Mainland China,1/24/2020 12:00 PM,15.0,4.0,,
Fujian,Mainland China,1/24/2020 12:00 PM,10.0,2.0,,
Henan,Mainland China,1/24/2020 12:00 PM,9.0,42.0,,
Jiangsu,Mainland China,1/24/2020 12:00 PM,9.0,,,
Hainan,Mainland China,1/24/2020 12:00 PM,8.0,32.0,,
Tianjin,Mainland China,1/24/2020 12:00 PM,8.0,,,
Yunnan,Mainland China,1/24/2020 12:00 PM,5.0,,,
Shaanxi,Mainland China,1/24/2020 12:00 PM,5.0,,,
Heilongjiang,Mainland China,1/24/2020 12:00 PM,4.0,,,1.0
Liaoning,Mainland China,1/24/2020 12:00 PM,4.0,,,
Guizhou,Mainland China,1/24/2020 12:00 PM,3.0,,,
Jilin,Mainland China,1/24/2020 12:00 PM,3.0,,,
Taiwan,Taiwan,1/24/2020 12:00 PM,3.0,,,
Ningxia,Mainland China,1/24/2020 12:00 PM,2.0,1.0,,
Hong Kong,Hong Kong,1/24/2020 12:00 PM,2.0,36.0,,
Macau,Macau,1/24/2020 12:00 PM,2.0,,,
Hebei,Mainland China,1/24/2020 12:00 PM,2.0,,,1.0
Gansu,Mainland China,1/24/2020 12:00 PM,2.0,,,
Xinjiang,Mainland China,1/24/2020 12:00 PM,2.0,,,
Shanxi,Mainland China,1/24/2020 12:00 PM,1.0,,,
Inner Mongolia,Mainland China,1/24/2020 12:00 PM,1.0,2.0,,
Qinghai,Mainland China,1/24/2020 12:00 PM,,1.0,,
Washington,United States,1/24/2020 12:00 PM,1.0,,,
Chicago,United States,1/24/2020 12:00 PM,1.0,,,
,Japan,1/24/2020 12:00 PM,2.0,,,
,Thailand,1/24/2020 12:00 PM,5.0,,,
,South Korea,1/24/2020 12:00 PM,2.0,,,
,Singapore,1/24/2020 12:00 PM,3.0,,,
,Vietnam,1/24/2020 12:00 PM,2.0,,,
,France,1/24/2020 4:00 PM,2.0,,,
Hubei,Mainland China,1/24/2020 12:00 AM,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020 12:00 AM,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020 12:00 AM,43.0,,1.0,
Beijing,Mainland China,1/24/2020 12:00 AM,26.0,22.0,,
Shanghai,Mainland China,1/24/2020 12:00 AM,20.0,,,
Hunan,Mainland China,1/24/2020 12:00 AM,24.0,,,
Anhui,Mainland China,1/24/2020 12:00 AM,15.0,4.0,,
Chongqing,Mainland China,1/24/2020 12:00 AM,27.0,13.0,,
Sichuan,Mainland China,1/24/2020 12:00 AM,15.0,4.0,,
Shandong,Mainland China,1/24/2020 12:00 AM,9.0,,,
Guangxi,Mainland China,1/24/2020 12:00 AM,13.0,,,
Fujian,Mainland China,1/24/2020 12:00 AM,5.0,2.0,,
Jiangsu,Mainland China,1/24/2020 12:00 AM,9.0,,,
Henan,Mainland China,1/24/2020 12:00 AM,9.0,,,
Hainan,Mainland China,1/24/2020 12:00 AM,8.0,32.0,,
Tianjin,Mainland China,1/24/2020 12:00 AM,5.0,,,
Jiangxi,Mainland China,1/24/2020 12:00 AM,7.0,,,
Shaanxi,Mainland China,1/24/2020 12:00 AM,3.0,,,
Guizhou,Mainland China,1/24/2020 12:00 AM,3.0,,,
Liaoning,Mainland China,1/24/2020 12:00 AM,4.0,,,
Hong Kong,Hong Kong,1/24/2020 12:00 AM,2.0,36.0,,
Heilongjiang,Mainland China,1/24/2020 12:00 AM,4.0,,,1.0
Macau,Macau,1/24/2020 12:00 AM,2.0,,,
Xinjiang,Mainland China,1/24/2020 12:00 AM,2.0,,,
Gansu,Mainland China,1/24/2020 12:00 AM,2.0,,,
Yunnan,Mainland China,1/24/2020 12:00 AM,2.0,,,
Taiwan,Taiwan,1/24/2020 12:00 AM,1.0,,,
Shanxi,Mainland China,1/24/2020 12:00 AM,1.0,,,
Jilin,Mainland China,1/24/2020 12:00 AM,3.0,,,
Hebei,Mainland China,1/24/2020 12:00 AM,2.0,,,1.0
Ningxia,Mainland China,1/24/2020 12:00 AM,1.0,,,
Inner Mongolia,Mainland China,1/24/2020 12:00 AM,1.0,2.0,,
Washington,United States,1/24/2020 12:00 AM,1.0,,,
,Japan,1/24/2020 12:00 AM,2.0,,,
,Thailand,1/24/2020 12:00 AM,4.0,,,
,South Korea,1/24/2020 12:00 AM,1.0,,,
,Singapore,1/24/2020 12:00 AM,1.0,,,
,Vietnam,1/24/2020 12:00 AM,2.0,,,
Anhui,Mainland China,1/23/20 12:00 PM,9.0,4.0,,
Beijing,Mainland China,1/23/20 12:00 PM,22.0,,,
Chongqing,Mainland China,1/23/20 12:00 PM,9.0,,,
Fujian,Mainland China,1/23/20 12:00 PM,5.0,2.0,,
Gansu,Mainland China,1/23/20 12:00 PM,2.0,,,
Guangdong,Mainland China,1/23/20 12:00 PM,32.0,1.0,2.0,
Guangxi,Mainland China,1/23/20 12:00 PM,5.0,,,
Guizhou,Mainland China,1/23/20 12:00 PM,3.0,,,
Hainan,Mainland China,1/23/20 12:00 PM,5.0,32.0,,
Hebei,Mainland China,1/23/20 12:00 PM,1.0,,,1.0
Heilongjiang,Mainland China,1/23/20 12:00 PM,2.0,,,
Henan,Mainland China,1/23/20 12:00 PM,5.0,,,
Hong Kong,Hong Kong,1/23/20 12:00 PM,2.0,65.0,,
Hubei,Mainland China,1/23/20 12:00 PM,444.0,,28.0,17.0
Hunan,Mainland China,1/23/20 12:00 PM,9.0,,,
Inner Mongolia,Mainland China,1/23/20 12:00 PM,,1.0,,
Jiangsu,Mainland China,1/23/20 12:00 PM,5.0,,,
Jiangxi,Mainland China,1/23/20 12:00 PM,7.0,,,
Jilin,Mainland China,1/23/20 12:00 PM,1.0,,,
Liaoning,Mainland China,1/23/20 12:00 PM,3.0,,,
Macau,Macau,1/23/20 12:00 PM,2.0,,,
Ningxia,Mainland China,1/23/20 12:00 PM,1.0,,,
Qinghai,Mainland China,1/23/20 12:00 PM,,,,
Shaanxi,Mainland China,1/23/20 12:00 PM,3.0,1.0,,
Shandong,Mainland China,1/23/20 12:00 PM,6.0,2.0,,
Shanghai,Mainland China,1/23/20 12:00 PM,16.0,22.0,,
Shanxi,Mainland China,1/23/20 12:00 PM,1.0,,,
Sichuan,Mainland China,1/23/20 12:00 PM,8.0,2.0,,
Taiwan,Taiwan,1/23/20 12:00 PM,1.0,,,
Tianjin,Mainland China,1/23/20 12:00 PM,4.0,,,
Tibet,Mainland China,1/23/20 12:00 PM,,,,
Washington,United States,1/23/20 12:00 PM,1.0,,,
Xinjiang,Mainland China,1/23/20 12:00 PM,2.0,,,
Yunnan,Mainland China,1/23/20 12:00 PM,2.0,,,
Zhejiang,Mainland China,1/23/20 12:00 PM,27.0,,,
,Japan,1/23/20 12:00 PM,1.0,,,
,Thailand,1/23/20 12:00 PM,3.0,,,
,South Korea,1/23/20 12:00 PM,1.0,,,
,Singapore,1/23/20 12:00 PM,1.0,,,
,Philippines,1/23/20 12:00 PM,,4.0,,
,Malaysia,1/23/20 12:00 PM,,4.0,,
,Vietnam,1/23/20 12:00 PM,2.0,,,
,Australia,1/23/20 12:00 PM,,1.0,,
,Mexico,1/23/20 12:00 PM,,1.0,,
,Brazil,1/23/20 12:00 PM,,1.0,,
,Colombia,1/23/20 12:00 PM,,1.0,,
Anhui,Mainland China,1/22/2020 12:00,1.0,4.0,,
Beijing,Mainland China,1/22/2020 12:00,14.0,,,
Chongqing,Mainland China,1/22/2020 12:00,6.0,,,
Fujian,Mainland China,1/22/2020 12:00,1.0,,,
Gansu,Mainland China,1/22/2020 12:00,,,,
Guangdong,Mainland China,1/22/2020 12:00,26.0,1.0,,
Guangxi,Mainland China,1/22/2020 12:00,2.0,1.0,,
Guizhou,Mainland China,1/22/2020 12:00,1.0,,,
Hainan,Mainland China,1/22/2020 12:00,4.0,,,
Hebei,Mainland China,1/22/2020 12:00,1.0,,,
Heilongjiang,Mainland China,1/22/2020 12:00,,1.0,,
Henan,Mainland China,1/22/2020 12:00,5.0,,,
Hong Kong,Hong Kong,1/22/2020 12:00,,117.0,,
Hubei,Mainland China,1/22/2020 12:00,444.0,,,
Hunan,Mainland China,1/22/2020 12:00,4.0,,,
Inner Mongolia,Mainland China,1/22/2020 12:00,,,,
Jiangsu,Mainland China,1/22/2020 12:00,1.0,,,
Jiangxi,Mainland China,1/22/2020 12:00,2.0,,,
Jilin,Mainland China,1/22/2020 12:00,,1.0,,
Liaoning,Mainland China,1/22/2020 12:00,2.0,,,
Macau,Macau,1/22/2020 12:00,1.0,,,
Ningxia,Mainland China,1/22/2020 12:00,1.0,,,
Qinghai,Mainland China,1/22/2020 12:00,,,,
Shaanxi,Mainland China,1/22/2020 12:00,,,,
Shandong,Mainland China,1/22/2020 12:00,2.0,,,
Shanghai,Mainland China,1/22/2020 12:00,9.0,10.0,,
Shanxi,Mainland China,1/22/2020 12:00,1.0,,,
Sichuan,Mainland China,1/22/2020 12:00,5.0,2.0,,
Taiwan,Taiwan,1/22/2020 12:00,1.0,,,
Tianjin,Mainland China,1/22/2020 12:00,4.0,,,
Tibet,Mainland China,1/22/2020 12:00,,,,
Washington,United States,1/22/2020 12:00,1.0,,,
Xinjiang,Mainland China,1/22/2020 12:00,,,,
Yunnan,Mainland China,1/22/2020 12:00,1.0,,,
Zhejiang,Mainland China,1/22/2020 12:00,10.0,,,
,Japan,1/22/2020 12:00,2.0,,,
,Thailand,1/22/2020 12:00,2.0,,,
,South Korea,1/22/2020 12:00,1.0,,,
Shanghai,Mainland China,1/21/2020,9.0,10.0,,
Yunnan,Mainland China,1/21/2020,1.0,,,
Beijing,Mainland China,1/21/2020,10.0,,,
Taiwan,Taiwan,1/21/2020,1.0,,,
Jilin,Mainland China,1/21/2020,,1.0,,
Sichuan,Mainland China,1/21/2020,2.0,1.0,,
Tianjin,Mainland China,1/21/2020,2.0,,,
Ningxia,Mainland China,1/21/2020,,1.0,,
Anhui,Mainland China,1/21/2020,,3.0,,
Shandong,Mainland China,1/21/2020,1.0,,,
Guangdong,Mainland China,1/21/2020,17.0,4.0,,
Guangxi,Mainland China,1/21/2020,,1.0,,
Jiangxi,Mainland China,1/21/2020,2.0,,,
Henan,Mainland China,1/21/2020,1.0,,,
Zhejiang,Mainland China,1/21/2020,5.0,16.0,,
Hainan,Mainland China,1/21/2020,,1.0,,
Hubei,Mainland China,1/21/2020,270.0,11.0,,
Hunan,Mainland China,1/21/2020,1.0,,,
Guizhou,Mainland China,1/21/2020,,1.0,,
Liaoning,Mainland China,1/21/2020,,1.0,,
Chongqing,Mainland China,1/21/2020,5.0,,,
Hong Kong,Hong Kong,1/21/2020,,117.0,,
Heilongjiang,Mainland China,1/21/2020,,1.0,,
,Japan,1/21/2020,1.0,,,
,Thailand,1/21/2020,2.0,,,
,South Korea,1/21/2020,1.0,,,
Washington,United States,1/21/2020,1.0,,,
Hubei,Mainland China,2/5/20 16:43,16678.0,,538.0,479.0
Guangdong,Mainland China,2/5/20 13:23,895.0,,49.0,0.0
Zhejiang,Mainland China,2/5/20 15:13,895.0,,78.0,0.0
Henan,Mainland China,2/5/20 15:03,764.0,,47.0,2.0
Hunan,Mainland China,2/5/20 15:23,661.0,,54.0,0.0
Jiangxi,Mainland China,2/5/20 1:33,548.0,,27.0,0.0
Anhui,Mainland China,2/5/20 13:43,530.0,,23.0,0.0
Chongqing,Mainland China,2/5/20 9:13,376.0,,15.0,2.0
Jiangsu,Mainland China,2/5/20 12:43,341.0,,23.0,0.0
Shandong,Mainland China,2/5/20 10:13,307.0,,15.0,0.0
Sichuan,Mainland China,2/5/20 10:13,301.0,,24.0,1.0
Beijing,Mainland China,2/5/20 5:43,253.0,,24.0,1.0
Shanghai,Mainland China,2/5/20 6:23,243.0,,15.0,1.0
Fujian,Mainland China,2/5/20 12:33,205.0,,11.0,0.0
Heilongjiang,Mainland China,2/5/20 12:13,190.0,,7.0,2.0
Shaanxi,Mainland China,2/5/20 8:43,165.0,,6.0,0.0
Guangxi,Mainland China,2/5/20 12:03,150.0,,13.0,0.0
Hebei,Mainland China,2/5/20 11:23,135.0,,6.0,1.0
Yunnan,Mainland China,2/5/20 7:43,124.0,,5.0,0.0
Hainan,Mainland China,2/5/20 16:43,99.0,,5.0,1.0
Liaoning,Mainland China,2/5/20 15:23,89.0,,4.0,0.0
Shanxi,Mainland China,2/5/20 15:23,81.0,,5.0,0.0
Tianjin,Mainland China,2/5/20 3:43,69.0,,2.0,1.0
Guizhou,Mainland China,2/5/20 12:33,64.0,,9.0,1.0
Gansu,Mainland China,2/5/20 16:23,62.0,,6.0,0.0
Jilin,Mainland China,2/5/20 11:03,54.0,,2.0,0.0
Inner Mongolia,Mainland China,2/5/20 8:53,42.0,,3.0,0.0
Ningxia,Mainland China,2/4/20 2:13,34.0,,1.0,0.0
Xinjiang,Mainland China,2/5/20 2:03,32.0,,0.0,0.0
,Singapore,2/5/20 16:33,28.0,,0.0,0.0
,Thailand,2/4/20 15:33,25.0,,5.0,0.0
,Japan,2/4/20 16:43,22.0,,1.0,0.0
Hong Kong,Hong Kong,2/5/20 13:13,21.0,,0.0,1.0
,South Korea,2/5/20 15:33,19.0,,0.0,0.0
Qinghai,Mainland China,2/5/20 3:13,17.0,,3.0,0.0
,Germany,2/3/20 20:53,12.0,,0.0,0.0
,Malaysia,2/5/20 15:43,12.0,,0.0,0.0
Taiwan,Taiwan,2/4/20 14:53,11.0,,0.0,0.0
Macau,Macau,2/4/20 4:43,10.0,,0.0,0.0
,Vietnam,2/3/20 21:43,8.0,,1.0,0.0
,France,2/1/20 1:52,6.0,,0.0,0.0
,United Arab Emirates,2/2/20 5:43,5.0,,0.0,0.0
New South Wales,Australia,2/1/20 18:12,4.0,,2.0,0.0
Victoria,Australia,2/1/20 18:12,4.0,,0.0,0.0
Queensland,Australia,2/4/20 16:53,3.0,,0.0,0.0
,India,2/3/20 21:43,3.0,,0.0,0.0
South Australia,Australia,2/2/20 22:33,2.0,,0.0,0.0
"Toronto, ON",Canada,2/4/20 0:13,2.0,,0.0,0.0
,Italy,1/31/20 8:15,2.0,,0.0,0.0
,Philippines,2/2/20 3:33,2.0,,0.0,1.0
,Russia,1/31/20 16:13,2.0,,0.0,0.0
,UK,2/1/20 1:52,2.0,,0.0,0.0
"Chicago, IL",United States,2/1/20 19:43,2.0,,0.0,0.0
"San Benito, CA",United States,2/3/20 3:53,2.0,,0.0,0.0
"Santa Clara, CA",United States,2/3/20 0:43,2.0,,0.0,0.0
,Belgium,2/4/20 15:43,1.0,,0.0,0.0
,Cambodia,1/31/20 8:15,1.0,,0.0,0.0
British Columbia,Canada,2/1/20 18:12,1.0,,0.0,0.0
"London, ON",Canada,2/4/20 0:03,1.0,,0.0,0.0
,Finland,1/31/20 8:15,1.0,,0.0,0.0
Tibet,Mainland China,2/1/20 1:52,1.0,,0.0,0.0
,Nepal,1/31/20 8:15,1.0,,0.0,0.0
,Spain,2/1/20 23:43,1.0,,0.0,0.0
,Sri Lanka,1/31/20 8:15,1.0,,0.0,0.0
,Sweden,2/1/20 2:13,1.0,,0.0,0.0
"Boston, MA",United States,2/1/20 19:43,1.0,,0.0,0.0
"Los Angeles, CA",United States,2/1/20 19:53,1.0,,0.0,0.0
"Orange, CA",United States,2/1/20 19:53,1.0,,0.0,0.0
"Seattle, WA",United States,2/1/20 19:43,1.0,,0.0,0.0
"Tempe, AZ",United States,2/1/20 19:43,1.0,,0.0,0.0
Hubei,Mainland China,2/4/20 23:43,16678.0,,522.0,479.0
Zhejiang,Mainland China,2/5/20 1:33,895.0,,63.0,0.0
Guangdong,Mainland China,2/5/20 2:03,870.0,,32.0,0.0
Henan,Mainland China,2/5/20 1:13,764.0,,41.0,2.0
Hunan,Mainland China,2/5/20 1:43,661.0,,35.0,0.0
Jiangxi,Mainland China,2/5/20 1:33,548.0,,27.0,0.0
Anhui,Mainland China,2/5/20 1:13,530.0,,20.0,0.0
Chongqing,Mainland China,2/5/20 0:13,366.0,,14.0,2.0
Jiangsu,Mainland China,2/5/20 2:43,341.0,,13.0,0.0
Sichuan,Mainland China,2/5/20 0:53,301.0,,23.0,1.0
Shandong,Mainland China,2/5/20 1:03,298.0,,13.0,0.0
Shanghai,Mainland China,2/5/20 0:23,233.0,,12.0,1.0
Beijing,Mainland China,2/4/20 8:33,228.0,,23.0,1.0
Fujian,Mainland China,2/4/20 12:13,194.0,,3.0,0.0
Heilongjiang,Mainland China,2/5/20 1:23,190.0,,4.0,2.0
Shaanxi,Mainland China,2/5/20 2:43,165.0,,2.0,0.0
Guangxi,Mainland China,2/5/20 0:43,150.0,,10.0,0.0
Hebei,Mainland China,2/5/20 2:53,135.0,,4.0,1.0
Yunnan,Mainland China,2/4/20 23:23,122.0,,5.0,0.0
Hainan,Mainland China,2/5/20 2:53,91.0,,4.0,1.0
Liaoning,Mainland China,2/4/20 14:13,81.0,,2.0,0.0
Shanxi,Mainland China,2/4/20 23:23,81.0,,4.0,0.0
Tianjin,Mainland China,2/4/20 13:33,67.0,,2.0,0.0
